ds,n,nl,clf,KFolds,TRE_mean,TRE_std,TESTE_mean,TESTE_std,E_DIFF,Regularization
Moon,1000,0.0,svm,5,1.0,0.0,1.0,0.0,0.0,100.0
Moon,1000,0.0,svm,5,1.0,0.0,1.0,0.0,0.0,1000.0
Moon,1000,0.1,svm,5,0.80375,0.010062305898749065,0.8,0.04472135954999579,-0.00374999999999992,0.001
Moon,1000,0.1,svm,5,0.8552500000000001,0.009598176910226254,0.8560000000000001,0.04247352116319059,0.0007500000000000284,0.005
Moon,1000,0.1,svm,5,0.8665,0.00969535971483268,0.8629999999999999,0.04296510211788167,-0.0035000000000001696,0.01
Moon,1000,0.1,svm,5,0.9037500000000002,0.004677071733467411,0.9029999999999999,0.03295451410656819,-0.0007500000000002505,0.1
Moon,1000,0.1,svm,5,0.994,0.0009354143466934654,0.994,0.0037416573867739447,0.0,0.5
Moon,1000,0.1,svm,5,0.9969999999999999,0.0006123724356958359,0.9970000000000001,0.00244948974278318,2.220446049250313e-16,1.0
Moon,1000,0.1,svm,5,0.9982500000000002,0.0006123724356957815,0.998,0.00244948974278318,-0.0002500000000001945,5.0
Moon,1000,0.1,svm,5,0.999,0.0004999999999999894,0.999,0.0020000000000000018,0.0,10.0
Moon,1000,0.1,svm,5,1.0,0.0,0.998,0.0024494897427831805,-0.0020000000000000018,100.0
Moon,1000,0.1,svm,5,1.0,0.0,0.97,0.006324555320336764,-0.030000000000000027,1000.0
Moon,1000,0.2,svm,5,0.807,0.009069178573608522,0.8039999999999999,0.03292415526630863,-0.0030000000000001137,0.001
Moon,1000,0.2,svm,5,0.8615,0.004430011286667328,0.861,0.024576411454889036,-0.000500000000000056,0.005
Moon,1000,0.2,svm,5,0.8732499999999999,0.0070533679898329244,0.873,0.019899748742132416,-0.00024999999999986144,0.01
Moon,1000,0.2,svm,5,0.89975,0.004834769901453424,0.8960000000000001,0.021771541057077258,-0.00374999999999992,0.1
Moon,1000,0.2,svm,5,0.9530000000000001,0.004444097208657828,0.953,0.015362291495737196,-1.1102230246251565e-16,0.5
Moon,1000,0.2,svm,5,0.9710000000000001,0.003297726489568247,0.9730000000000001,0.011224972160321834,0.0020000000000000018,1.0
Moon,1000,0.2,svm,5,0.9802500000000001,0.003102418411497727,0.976,0.01319090595827293,-0.004250000000000087,5.0
Moon,1000,0.2,svm,5,0.9807500000000001,0.003921096785339528,0.974,0.01200000000000001,-0.006750000000000145,10.0
Moon,1000,0.2,svm,5,0.9872500000000001,0.0027838821814150376,0.968,0.016911534525287777,-0.0192500000000001,100.0
Moon,1000,0.2,svm,5,0.99875,0.001118033988749871,0.8710000000000001,0.03693237062523877,-0.12774999999999992,1000.0
Moon,1000,0.3,svm,5,0.8074999999999999,0.004031128874149271,0.8020000000000002,0.01536229149573719,-0.005499999999999727,0.001
Moon,1000,0.3,svm,5,0.8342500000000002,0.005159941860137568,0.836,0.023108440016582677,0.0017499999999998073,0.005
Moon,1000,0.3,svm,5,0.84175,0.004650268809434575,0.8399999999999999,0.021679483388678783,-0.0017500000000001403,0.01
Moon,1000,0.3,svm,5,0.8532500000000001,0.0047169905660282814,0.853,0.015684387141358135,-0.0002500000000000835,0.1
Moon,1000,0.3,svm,5,0.9065,0.0034820970692960194,0.907,0.007483314773547889,0.000500000000000056,0.5
Moon,1000,0.3,svm,5,0.91075,0.001274754878398204,0.909,0.0058309518948453055,-0.0017499999999999183,1.0
Moon,1000,0.3,svm,5,0.9157499999999998,0.0018708286933869693,0.9110000000000001,0.0037416573867739447,-0.004749999999999699,5.0
